object_id	postal_code	mun_name	neighborhood_name	neighborhood_type	area	with_event	x_centroid	y_centroid
33681	66613	APODACA	FRACC MIRADOR DEL TOPO FUNDADORES	COLONIA	1.35329017125e-05	False	-100.254	25.811
33682	66613	APODACA	FRACC SANTA ELENA	COLONIA	4.89095483414e-05	False	-100.249	25.809
33683	66613	APODACA	LOS AMARANTOS	COLONIA	8.59452432888e-06	False	-100.255	25.817
33684	66613	APODACA	MOISES SAENZ	COLONIA	0.000147377349335	False	-100.255	25.822
33685	66613	APODACA	PARQUE IND JARDINES DE MONTERREY	COLONIA	3.10628003801e-05	False	-100.262	25.82
33686	66613	APODACA	PASEO DE APODACA	COLONIA	3.54399981285e-06	False	-100.247	25.813
33687	66613	APODACA	SEPTIMA ZONA MILITAR	COLONIA	0.00125075699533	False	-100.268	25.844
33688	66613	APODACA	FRACC BALCONES DEL NORTE	COLONIA	2.82456238055e-05	False	-100.262	25.81
33689	66613	APODACA	FRACC COSMOPOLIS	COLONIA	0.000212006950042	False	-100.246	25.814
33690	66613	APODACA	FRACC COSMOPOLIS 2DA SECC	COLONIA	1.95329517065e-05	False	-100.246	25.828
33691	66616	APODACA	JESUS MARIA	PARQUE INDUSTRIAL	4.61388513359e-05	False	-100.083	25.741
33692	66616	APODACA	STIVA PARQUE INDUSTRIAL AEROPUERTO	PARQUE INDUSTRIAL	0.000107091307084	False	-100.131	25.772
33693	66616	APODACA	AEROP INTL MARIANO ESCOBEDO MTY	PARQUE INDUSTRIAL	0.000628547710836	False	-100.114	25.782
33694	66620	APODACA	PRADERA DE AGUA FRIA	COLONIA	0.000101589654971	False	-100.149	25.812
33695	66620	APODACA	CERRITO DE AGUA FRIA	COLONIA	2.32322471458e-05	False	-100.156	25.805
33696	66623	APODACA	ARTEMIO TREVIÃO	COLONIA	3.31945525502e-05	False	-100.145	25.836
33697	66626	APODACA	PARQUE INDUSTRIAL	PARQUE INDUSTRIAL	7.69528978214e-05	False	-100.139	25.782
33698	66626	APODACA	PARQUE INDUSTRIAL MILENIUM	PARQUE INDUSTRIAL	6.76946484823e-05	False	-100.131	25.781
33699	66626	APODACA	STIVA PARQUE INDUSTRIAL	PARQUE INDUSTRIAL	0.000232401700397	False	-100.146	25.778
33700	66630	APODACA	FRANCISCO MARTINEZ	COLONIA	1.46429952978e-06	False	-100.241	25.76
33701	66630	APODACA	GARCIA MIRELES	COLONIA	9.21470035395e-06	False	-100.242	25.76
33702	66630	APODACA	HACIENDA DEL MORO	COLONIA	9.20534825505e-06	False	-100.237	25.761
33703	66630	APODACA	HACIENDA LOS NOGALES	COLONIA	5.91554966944e-06	True	-100.239	25.77
33704	66630	APODACA	LAS AMERICAS	COLONIA	5.95585052659e-06	False	-100.25	25.758
33705	66630	APODACA	MEZQUITAL SUR	COLONIA	1.03459507417e-05	False	-100.246	25.76
33706	66630	APODACA	VIEJO MEZQUITAL	COLONIA	6.33043491436e-05	False	-100.234	25.773
33707	66630	APODACA	EL MEZQUITAL	COLONIA	4.12849029101e-05	False	-100.236	25.765
33708	66630	APODACA	FRACC ARBOLEDAS DEL MEZQUITAL	COLONIA	2.56218002634e-05	False	-100.24	25.766
33709	66630	APODACA	FRANCISCO ELIZONDO	COLONIA	4.56486011264e-05	False	-100.24	25.758
33710	66632	APODACA	NUEVO MEZQUITAL	COLONIA	2.20087481964e-05	False	-100.241	25.755
33711	66632	APODACA	VALLE DEL MEZQUITAL	COLONIA	5.43693012084e-05	False	-100.233	25.749
33712	66632	APODACA	BALCONES DEL MEZQUITAL	COLONIA	1.37514486039e-05	False	-100.238	25.753
33713	66632	APODACA	CANTU	COLONIA	7.88459990063e-06	False	-100.238	25.749
33714	66632	APODACA	HACIENDA DEL MEZQUITAL	COLONIA	0.000446212800298	True	-100.223	25.762
33715	66633	APODACA	FRACC DEPORTIVO HUINALA 3ER SECT	COLONIA	1.21529503935e-05	False	-100.184	25.732
33716	66633	APODACA	FRACC LOS ALAMOS 1ER SECT	COLONIA	2.14154952596e-06	False	-100.187	25.736
33717	66633	APODACA	FRACC LOS ALAMOS 2DO SECT	COLONIA	2.25675029426e-06	False	-100.188	25.737
33718	66633	APODACA	FRACC LOS ALAMOS 3ER SECT	COLONIA	2.59724989429e-06	False	-100.188	25.738
33719	66633	APODACA	FRACC PRIVADAS DEL PARQUE	COLONIA	4.13224480997e-05	False	-100.224	25.743
33720	66633	APODACA	FRACC SAN IGNACIO	COLONIA	9.02280081682e-06	False	-100.186	25.738
33721	66633	APODACA	KALOS	COLONIA	0.000288392530072	False	-100.206	25.759
33722	66633	APODACA	LA ENCARNACION	COLONIA	5.40789523353e-05	False	-100.204	25.738
33723	66633	APODACA	MIRADOR HUINALA	COLONIA	8.62065018477e-06	False	-100.184	25.735
33724	66633	APODACA	NORIA NORTE	COLONIA	4.39812487874e-05	True	-100.192	25.735
33725	66633	APODACA	NORIA SUR	COLONIA	2.20464494973e-05	False	-100.194	25.732
33726	66633	APODACA	PARQUE INDUSTRIAL ALMACENTRO	COLONIA	4.20550997115e-05	False	-100.192	25.756
33727	66633	APODACA	PARQUE INDUSTRIAL APODACA ASTEC	COLONIA	0.000140609799565	True	-100.187	25.766
33728	66633	APODACA	PARQUE INDUSTRIAL DANFOS	COLONIA	2.06724184834e-05	False	-100.2	25.755
33729	66633	APODACA	PARQUE INDUSTRIAL INTERPARK	COLONIA	3.17225959834e-05	False	-100.213	25.738
33730	66633	APODACA	PARQUE INDUSTRIAL LA ALIANZA	COLONIA	9.16850625787e-05	True	-100.208	25.744
33731	66633	APODACA	PARQUE INDUSTRIAL METALSA	COLONIA	1.85396984705e-05	False	-100.203	25.75
33732	66633	APODACA	PARQUE INDUSTRIAL MEXICO	COLONIA	2.28736492129e-05	False	-100.201	25.734
33733	66633	APODACA	PARQUE INDUSTRIAL PANASONIC	COLONIA	4.94475004459e-05	False	-100.217	25.746
33734	66633	APODACA	PARQUE INDUSTRIAL REGIO PARQUE	COLONIA	1.77975853339e-05	False	-100.213	25.745
33735	66633	APODACA	PARQUE INDUSTRIAL VITRO	COLONIA	3.76995021342e-05	False	-100.207	25.752
33736	66633	APODACA	RES HUINALA	COLONIA	7.47580994411e-05	False	-100.18	25.74
33737	66633	APODACA	TITAN	COLONIA	6.67930034114e-06	False	-100.219	25.742
33738	66633	APODACA	VALLE DE LOS ALAMOS	COLONIA	7.46685001075e-06	False	-100.188	25.732
33739	66633	APODACA	ALAMOS DEL PARQUE	COLONIA	5.6106501064e-06	False	-100.186	25.734
33740	66633	APODACA	FRACC DEPORTIVO HUINALA	COLONIA	1.76063504668e-05	False	-100.179	25.734
33741	66633	APODACA	FRACC DEPORTIVO HUINALA 2DO SECT	COLONIA	3.50609950094e-06	False	-100.183	25.733
33742	66634	APODACA	FRACC PRIVADAS PREMIER (VALLE REAL)	UNIDAD HABITACIONAL	2.73483489391e-05	False	-100.199	25.746
33743	66634	APODACA	INDEPENDENCIA CROC	UNIDAD HABITACIONAL	7.53474944741e-06	True	-100.192	25.74
33744	66634	APODACA	JACARANDAS	UNIDAD HABITACIONAL	1.01777507777e-05	False	-100.186	25.747
33745	66634	APODACA	LAS PROVINCIAS	UNIDAD HABITACIONAL	5.89340053143e-06	False	-100.201	25.739
33746	66634	APODACA	PARQUE INDUSTRIAL MARTEL	UNIDAD HABITACIONAL	3.88621985697e-05	False	-100.189	25.75
33747	66634	APODACA	UNIDAD HAB INDEPENDENCIA 1RA SECC	UNIDAD HABITACIONAL	6.50404964161e-06	False	-100.194	25.741
33748	66634	APODACA	UNIDAD HAB INDEPENDENCIA 2DO SECT	UNIDAD HABITACIONAL	6.38800029211e-06	False	-100.196	25.742
