,source,target,weight
810,33711,34363,1
811,33711,34461,1
812,33711,34634,1
813,33711,34683,1
814,33711,34719,1
815,33711,34742,1
816,33711,34747,1
817,33711,34955,2
818,33711,34956,1
819,33711,34979,1
820,33711,34992,1
821,33711,35036,1
822,33711,35050,1
823,33711,35062,1
824,33711,35102,1
825,33711,35116,1
826,33711,35123,1
827,33711,35261,1
828,33711,35264,2
829,33711,35300,1
830,33711,35365,1
831,33711,35369,1
832,33711,35376,1
833,33711,35377,1
834,33711,35404,1
835,33711,35412,1
836,33711,35454,1
837,33711,35557,1
838,33711,35913,1
839,33711,35925,1
840,33711,36001,1
841,33711,36375,1
842,33712,33925,1
843,33712,34029,1
844,33712,34117,1
845,33712,34166,1
846,33712,34180,1
847,33712,34198,1
848,33712,34363,1
849,33712,34719,1
850,33712,34747,1
851,33712,34955,1
852,33712,34979,1
853,33712,34992,1
854,33712,35062,1
855,33712,35116,1
856,33712,35264,1
857,33712,35300,1
858,33712,35404,1
859,33712,35412,1
860,33712,35913,1
861,33712,35925,1
862,33712,36001,1
863,33714,33714,1
864,33714,33721,1
865,33714,33820,1
866,33714,33843,1
867,33714,33881,1
868,33714,33925,1
869,33714,33941,1
870,33714,33945,1
871,33714,33965,1
872,33714,34045,1
873,33714,34066,1
874,33714,34230,1
875,33714,34344,1
876,33714,34395,1
877,33714,34507,1
878,33714,34527,1
879,33714,34718,1
880,33714,34735,1
881,33714,34748,1
882,33714,34802,1
883,33714,34955,2
884,33714,34971,1
885,33714,35002,2
886,33714,35034,1
887,33714,35133,1
888,33714,35162,1
889,33714,35209,1
890,33714,35237,1
891,33714,35274,1
892,33714,35376,2
893,33714,35545,1
894,33714,35572,1
895,33714,35629,1
896,33714,35749,1
897,33714,35856,1
898,33714,35915,1
899,33714,35935,1
900,33714,35955,1
901,33714,36247,1
902,33714,36253,1
903,33714,36378,1
904,33714,36425,1
905,33714,36476,1
906,33714,36484,1
907,33721,33724,1
908,33721,33820,1
909,33721,33826,1
910,33721,33840,1
911,33721,33860,1
912,33721,33861,1
913,33721,33868,1
914,33721,33871,1
915,33721,33901,3
916,33721,33941,1
917,33721,33965,1
918,33721,34020,1
919,33721,34037,1
920,33721,34041,1
921,33721,34053,1
922,33721,34066,1
923,33721,34117,1
924,33721,34218,1
925,33721,34230,1
926,33721,34261,1
927,33721,34287,1
928,33721,34308,1
929,33721,34318,1
930,33721,34366,1
931,33721,34369,1
932,33721,34404,1
933,33721,34407,1
934,33721,34603,1
935,33721,34630,1
936,33721,34632,1
937,33721,34713,1
938,33721,34719,1
939,33721,34733,1
940,33721,34735,1
941,33721,34742,1
942,33721,34745,1
943,33721,34747,1
944,33721,34757,1
945,33721,34794,1
946,33721,34955,4
947,33721,34959,1
948,33721,34960,1
949,33721,35009,1
950,33721,35010,1
951,33721,35029,1
952,33721,35030,1
953,33721,35075,1
954,33721,35082,1
955,33721,35083,1
956,33721,35092,1
957,33721,35102,3
958,33721,35111,1
959,33721,35143,1
960,33721,35164,1
961,33721,35174,1
962,33721,35224,1
963,33721,35242,1
964,33721,35247,1
965,33721,35250,1
966,33721,35251,1
967,33721,35264,3
968,33721,35267,1
969,33721,35271,1
970,33721,35279,1
971,33721,35281,1
972,33721,35282,1
973,33721,35286,1
974,33721,35290,1
975,33721,35339,1
976,33721,35350,1
977,33721,35368,1
978,33721,35376,5
979,33721,35380,1
980,33721,35384,2
981,33721,35395,1
982,33721,35404,1
983,33721,35412,2
984,33721,35420,2
985,33721,35447,1
986,33721,35449,2
987,33721,35454,1
988,33721,35460,1
989,33721,35524,3
990,33721,35557,1
991,33721,35588,4
992,33721,35633,1
993,33721,35783,1
994,33721,35785,1
995,33721,35851,1
996,33721,35897,1
997,33721,35946,1
998,33721,36250,1
999,33721,36383,1
1000,33721,36404,1
1001,33721,36457,1
1002,33721,36463,1
1003,33721,36469,1
1004,33721,36471,1
1005,33721,36482,1
1006,33721,36488,2
1007,33722,33811,1
1008,33722,33817,1
1009,33722,33849,1
1010,33722,33901,2
1011,33722,33923,1
1012,33722,33930,1
1013,33722,33933,1
1014,33722,34080,1
1015,33722,34171,1
1016,33722,34196,1
1017,33722,34495,1
1018,33722,34536,1
1019,33722,34697,1
1020,33722,34713,2
1021,33722,34779,1
1022,33722,34955,2
1023,33722,35061,1
1024,33722,35102,2
1025,33722,35133,1
1026,33722,35146,1
1027,33722,35159,1
1028,33722,35175,1
1029,33722,35245,1
1030,33722,35259,1
1031,33722,35358,1
1032,33722,35369,1
1033,33722,35376,2
1034,33722,35384,1
1035,33722,35514,1
1036,33722,35546,1
1037,33722,35645,1
1038,33722,35733,1
1039,33722,36059,1
1040,33722,36459,1
1041,33724,33727,1
1042,33724,33730,1
1043,33724,33799,1
1044,33724,34141,1
1045,33724,34164,1
1046,33724,34182,1
1047,33724,34333,1
1048,33724,34404,1
1049,33724,34759,1
1050,33724,34761,1
1051,33724,35074,1
1052,33724,35098,1
1053,33724,35172,1
1054,33724,35264,1
1055,33724,35404,1
1056,33724,35410,1
1057,33724,35449,1
1058,33724,35638,1
1059,33724,35740,1
1060,33724,35875,1
1061,33724,36307,1
