year,date,lat,lon,news,cassualties,url,neighborhood,x,y,cve_mun,nom_mun,cve_loc,nom_loc
2015,2015-04-28,25.636347,-100.12727,Hallan en 3 bolsas cuerpo descuartizado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=526902,HECTOR CABALLERO ESCAMILLA,2687161.3337405543,1510964.278906798,31,Juárez,224,Héctor Caballero
2015,2015-04-20,25.716156,-100.262039,Disparan desde taxi; matan a 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519565&v=3,CONSTITUYENTES DE QUERETARO SECT 2,2673586.525989117,1519593.475592558,46,San Nicolás de los Garza,1,San Nicolás de los Garza
2015,2015-04-27,25.656503,-100.324078,Fallece menor de 12 a&#241;os baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525847&v=2,INDEPENDENCIA,2667467.2492520544,1512943.0484499442,39,Monterrey,1,Monterrey
2015,2015-04-26,25.621569,-100.264578,Disparan contra j&#243;venes y ejecutan a uno,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525005&v=3,EJIDAL LOS REMATES,2673459.1318512233,1509162.484300077,39,Monterrey,1,Monterrey
2015,2015-04-16,25.765005,-100.381143,Cazan sicarios a dos j&#243;venes,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=516647&v=2,FOMERREY 116,2661630.2168715512,1524840.0662123798,39,Monterrey,1,Monterrey
2015,2015-04-06,25.739612,-100.349349,Acribillan sicarios a 3 en 6 horas,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=507680&v=3,VALLE DE SANTA LUCIA,2664836.6843392826,1522076.5445977927,39,Monterrey,1,Monterrey
2015,2015-04-15,25.81997,-100.296179,Hallan en Escobedo a mujer momificada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=515543&v=2,RAUL CABALLERO,2670040.8189135017,1530998.668689603,21,General Escobedo,1,Ciudad General Escobedo
2015,2015-04-20,25.926778,-100.36856,Ejecutan a plagiado tras cobrar rescate,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519562&v=4,,2662683.559293736,1542691.9919759312,,,,
2015,2015-04-27,25.680683,-100.437793,Muere en el HU mesero baleado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525409,LOS PORTALES II,2656075.65458326,1515480.5764264867,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-04-12,25.679533,-100.419078,Dejan a decapitado dentro de un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512587&v=3,TRABAJADORES,2657946.7393113985,1515374.278343045,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-04-11,25.688608,-100.41676,Ejecutan a joven en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512057&v=2,AMPL SAN PEDRO 400,2658167.27128255,1516377.3474891712,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-04-30,25.599505,-99.994469,Matan en su casa a pastor cristiano,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=528977,NUEVA CADEREYTA,2700489.476405358,1507082.273450275,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-04-29,25.598917,-99.983257,Tiran en Cadereyta a mec&#225;nico ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=527873&v=2,LAZARO CARDENAS 1ER SECT,2701611.1585912495,1507033.1707818708,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-03-10,25.633062,-100.097347,Tiran en lona a un ejecutado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484808&v=3,EL MIRADOR,2690156.480078349,1510641.4942187755,31,Juárez,1,Ciudad Benito Juárez
2015,2015-03-18,25.675571,-100.332562,Hallan a un ejecutado en cajuela de taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=492292&v=5,NUEVO OBISPADO,2666595.078251473,1515035.36117724,39,Monterrey,1,Monterrey
2015,2015-03-14,25.6587204,-100.3175155,Levantan y ejecutan a m&#250;sico,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489021,INDEPENDENCIA,2668120.11200555,1513195.1866076118,39,Monterrey,1,Monterrey
2015,2015-03-07,25.6920483,-100.3322478,Acribillan a joven en la 10 de Marzo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=483294&v=2,10 DE MARZO,2666605.343527828,1516852.3282544222,39,Monterrey,1,Monterrey
2015,2015-03-19,25.806485,-100.091893,Aparece ejecutado joven en Pesquer&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=493585,,2690447.1437091413,1529768.5636330268,,,,
2015,2015-03-18,25.663708,-100.257257,Hallan cad&#225;ver enterrado en R&#237;o La Silla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=491790&v=6,JARDINES DE LA PASTORA,2674134.392398631,1513816.9516323293,26,Guadalupe,1,Guadalupe
2015,2015-03-10,25.687303,-100.2340781,Lo asesinan desde un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484932&v=4,RES AZTECA,2676418.2741733617,1516446.5630886347,26,Guadalupe,1,Guadalupe
2015,2015-03-22,25.797334,-100.315398,Ejecutan a hombre en Escobedo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=495600&v=4,INFONAVIT MONTERREAL,2668152.174674411,1528480.1707766175,21,General Escobedo,1,Ciudad General Escobedo
2015,2015-03-14,25.7802165,-100.3161126,Encuentran a hombre muerto en camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489042&v=2,JOYA DE ANAHUAC SECT FLORENCIA,2668103.00888123,1526591.9924905964,21,General Escobedo,1,Ciudad General Escobedo
2015,2015-03-14,25.6685405,-100.4615679,Hallan cuerpo semienterrado en patio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=488993&v=2,SANCA,2653714.8243133035,1514116.2008929935,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-03-07,25.632074600000006,-100.2860881,Ejecutan a mujer,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=482933&v=2,REVOLUCION PROLETARIA,2671295.4132258967,1510294.803596502,39,Monterrey,1,Monterrey
2015,2015-02-23,25.76364,-100.260895,Lo rafaguean frente a su casa y muere,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=473700&v=2,FOMERREY 4,2673637.296622369,1524830.117097925,6,Apodaca,1,Ciudad Apodaca
2015,2015-02-23,25.63005,-100.30644,Va racha al alza; ahora matan a 3,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863,JARDIN DE LAS TORRES,2669264.091405787,1510047.4403109422,39,Monterrey,1,Monterrey
2015,2015-02-21,25.698051800000002,-100.3251964,Ejecutan otra vez en Bar Matehuala,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470927&v=5,BELLAVISTA,2667302.0037195976,1517522.420934988,39,Monterrey,1,Monterrey
2015,2015-02-21,25.6768776,-100.2900361,Esconden hallazgo de decapitado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470989,OBRERA,2670841.9589075646,1515229.4385145947,39,Monterrey,1,Monterrey
2015,2015-02-20,25.7580391,-100.426662,Ejecutan a hombre en su domicilio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470583,CUMBRES SAN AGUSTIN,2657094.11131749,1524021.4531158006,39,Monterrey,1,Monterrey
2015,2015-02-02,25.72391,-100.345313,Matan a cabecilla de c&#233;lula del crimen,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=455004&v=2,VALLE MORELOS,2665259.6823266936,1520349.9947337147,39,Monterrey,1,Monterrey
2015,2015-02-05,25.645606,-100.162853,Desaparece alumna y la hallan ejecutada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458074&v=6,FRACC MONTE VERDE,2683592.2758163754,1511939.0288862353,31,Juárez,1,Ciudad Benito Juárez
2015,2015-02-06,25.799739,-100.617731,Hallan a enterrado en cerro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458927&v=2,,2637972.636276166,1528422.6859860294,,,,
2015,2015-02-22,25.674072,-100.430211,Tiran a ejecutado en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472014&v=2,LA FAMA,2656841.098413202,1514759.9909839835,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-02-19,25.585239,-99.9985729,Tras ejecuci&#243;n cae cabecilla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=469597,CADEREYTA JIMENEZ CENTRO,2700101.19110178,1505503.8918078742,9,Cadereyta Jiménez,1,Cadereyta Jiménez
2015,2015-01-30,25.664161,-100.138452,Le cobran $500 luego lo acribillan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=452993&v=4,COAHUILA,2686004.0610808986,1514016.0576315946,31,Juárez,1,Ciudad Benito Juárez
2015,2015-01-06,25.72135771,-100.3533216,Hallan cuerpo calcinado en Col. Del Maestro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=432808&v=4,MORELOS,2664463.1001980607,1520059.3928925877,39,Monterrey,1,Monterrey
2015,2015-01-04,25.663949,-100.291416,Balea a pap&#225; e hijos y causa muerte de 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431973,ESPAÑA,2670721.081230622,1513802.4530041956,39,Monterrey,1,Monterrey
2015,2015-01-04,25.788145,-100.380235,Ejecutan a conductor pistoleros en taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431978,FRACC RIVERAS DEL BOSQUE,2661692.0537438947,1527392.446577579,39,Monterrey,1,Monterrey
2015,2015-01-27,25.76254,-100.166208,Acribillan a joven afuera de su casa,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450230&v=6,PUEBLO NUEVO,2683092.170734906,1524826.5951016215,6,Apodaca,1,Ciudad Apodaca
2015,2015-01-30,25.804559,-100.278128,Ejecutan a 3 en minis&#250;per,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=453268&v=2,MOL DEL YONKE,2671862.6185944662,1529320.9705759764,21,General Escobedo,1,Ciudad General Escobedo
2015,2015-01-25,25.702108,-100.458968,Los matan enfrente de su casa,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=448365&v=2,SAN GILBERTO (FOMERREY 137),2653934.82083466,1517819.8064445208,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-01-20,25.694891,-100.497941,Carga a su hija y lo ejecutan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=444500&v=3,PUERTA DE LAS MITRAS,2650050.257020343,1516982.8201423164,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-01-11,25.659153,-100.434544,Matan sicarios a 2 en Santa Catarina,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=437198&v=4,LA FORTALEZA,2656426.1499812277,1513110.4666707658,48,Santa Catarina,1,Ciudad Santa Catarina
2015,2015-01-27,25.603208,-100.077843,Lo ejecutan c&#243;mplices por fallar como halc&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450071&v=3,,2692149.7598588606,1507376.3614553697,9,Cadereyta Jiménez,572,Valle del Roble
2015,2015-10-24,25.61768,-100.25935,Alcanzan taxi y ejecutan a 2,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=677141&v=2&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=677141&v=2&flow_type=paywall,EJIDAL LOS REMATES,2673986.859681638,1508740.0834321629,39,Monterrey,1,Monterrey
2015,2015-10-29,25.6836728,-100.3264108,A él lo ejecutan; a ella la levantan,1.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=681393&v=6&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=681393&v=6&flow_type=paywall,CENTRO DE MONTERREY,2667199.198263333,1515935.7296562002,39,Monterrey,1,Monterrey
2015,2015-10-18,25.6883755,-100.3257195,Ejecutan a dos desde vehículos en marcha,2.0,https://www.elnorte.com/aplicacioneslibre/preacceso/articulo/default.aspx?id=671501&v=3&flow_type=paywall&urlredirect=https://www.elnorte.com/aplicaciones/articulo/default.aspx?id=671501&v=3&flow_type=paywall,INDUSTRIAL,2667262.2062835703,1516455.0032687346,39,Monterrey,1,Monterrey
