year,date,lat,lon,news,cassualties,url,object_id,postal_code,mun_name,neighborhood_name,neighborhood_type,area
2015,2015-03-18,25.675571,-100.332562,Hallan a un ejecutado en cajuela de taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=492292&v=5,34969,64060.0,MONTERREY,NUEVO OBISPADO,COLONIA,2.0068201754000007e-05
2015,2015-03-14,25.6587204,-100.3175155,Levantan y ejecutan a m&#250;sico,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489021,35376,64720.0,MONTERREY,INDEPENDENCIA,FRACCIONAMIENTO,0.000221969402392
2015,2015-03-07,25.6920483,-100.3322478,Acribillan a joven en la 10 de Marzo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=483294&v=2,35248,64488.0,MONTERREY,10 DE MARZO,COLONIA,1.98438996513e-05
2015,2015-03-19,25.806485,-100.091893,Aparece ejecutado joven en Pesquer&#237;a,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=493585,0,,,,,
2015,2015-03-18,25.663708,-100.257257,Hallan cad&#225;ver enterrado en R&#237;o La Silla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=491790&v=6,34362,67140.0,GUADALUPE,JARDINES DE LA PASTORA,COLONIA,0.000100548008616
2015,2015-03-10,25.687303,-100.2340781,Lo asesinan desde un auto,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484932&v=4,34391,67150.0,GUADALUPE,RES AZTECA,COLONIA,2.26496009823e-05
2015,2015-03-22,25.797334,-100.315398,Ejecutan a hombre en Escobedo,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=495600&v=4,34131,66057.0,GENERAL ESCOBEDO,INFONAVIT MONTERREAL,COLONIA,4.16570012023e-05
2015,2015-03-14,25.7802165,-100.3161126,Encuentran a hombre muerto en camioneta,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489042&v=2,34101,66055.0,GENERAL ESCOBEDO,JOYA DE ANAHUAC SECT FLORENCIA,COLONIA,1.95029266195e-05
2015,2015-03-14,25.6685405,-100.4615679,Hallan cuerpo semienterrado en patio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=488993&v=2,36319,66350.0,SANTA CATARINA,SANCA,COLONIA,2.57714512278e-05
2015,2015-03-07,25.63207460000001,-100.2860881,Ejecutan a mujer,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=482933&v=2,35424,64788.0,MONTERREY,REVOLUCION PROLETARIA,COLONIA,9.099649729869999e-06
2015,2015-02-23,25.76364,-100.260895,Lo rafaguean frente a su casa y muere,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=473700&v=2,33787,66635.0,APODACA,FOMERREY 4,COLONIA,2.72564491684e-05
2015,2015-02-23,25.63005,-100.30644,Va racha al alza; ahora matan a 3,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863,35400,64754.0,MONTERREY,JARDIN DE LAS TORRES,COLONIA,3.26570003725e-05
2015,2015-02-21,25.698051800000002,-100.3251964,Ejecutan otra vez en Bar Matehuala,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470927&v=5,35234,64410.0,MONTERREY,BELLAVISTA,COLONIA,8.78778028298e-05
2015,2015-02-21,25.6768776,-100.2900361,Esconden hallazgo de decapitado,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470989,34956,64010.0,MONTERREY,OBRERA,COLONIA,0.00014344229981600002
2015,2015-02-20,25.7580391,-100.426662,Ejecutan a hombre en su domicilio,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470583,34047,64346.0,GENERAL ESCOBEDO,CUMBRES SAN AGUSTIN,COLONIA,0.000209570247188
2015,2015-02-02,25.72391,-100.345313,Matan a cabecilla de c&#233;lula del crimen,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=455004&v=2,35062,64180.0,MONTERREY,VALLE MORELOS,FRACCIONAMIENTO,2.11276509065e-05
2015,2015-02-05,25.645606,-100.162853,Desaparece alumna y la hallan ejecutada,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458074&v=6,34724,67257.0,JUÁREZ,FRACC MONTE VERDE,COLONIA,0.000155627198673
2015,2015-02-06,25.799739,-100.617731,Hallan a enterrado en cerro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458927&v=2,0,,,,,
2015,2015-02-22,25.674072,-100.430211,Tiran a ejecutado en Santa Catarina,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472014&v=2,36241,66100.0,SANTA CATARINA,LA FAMA,COLONIA,8.75588420453e-05
2015,2015-02-19,25.585239,-99.9985729,Tras ejecuci&#243;n cae cabecilla,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=469597,33901,67480.0,CADEREYTA JIMÉNEZ,CADEREYTA JIMENEZ CENTRO,COLONIA,0.000832080719522
2015,2015-01-30,25.664161,-100.138452,Le cobran $500 luego lo acribillan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=452993&v=4,34737,67257.0,JUÁREZ,COAHUILA,COLONIA,3.83610687715e-05
2015,2015-01-06,25.72135771,-100.3533216,Hallan cuerpo calcinado en Col. Del Maestro,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=432808&v=4,35064,64180.0,MONTERREY,MORELOS,FRACCIONAMIENTO,3.84477619715e-05
2015,2015-01-04,25.663949,-100.291416,Balea a pap&#225; e hijos y causa muerte de 1,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431973,35449,64810.0,MONTERREY,ESPAÑA,FRACCIONAMIENTO,3.44010509793e-05
2015,2015-01-04,25.788145,-100.380235,Ejecutan a conductor pistoleros en taxi,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431978,35078,64209.0,MONTERREY,FRACC RIVERAS DEL BOSQUE,FRACCIONAMIENTO,3.62837491907e-05
2015,2015-01-27,25.76254,-100.166208,Acribillan a joven afuera de su casa,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450230&v=6,33840,66646.0,APODACA,PUEBLO NUEVO,COLONIA,1.67232999706e-05
2015,2015-01-30,25.804559,-100.278128,Ejecutan a 3 en minis&#250;per,3.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=453268&v=2,34077,66052.0,GENERAL ESCOBEDO,MOL DEL YONKE,COLONIA,2.33037996666e-05
2015,2015-01-25,25.702108,-100.458968,Los matan enfrente de su casa,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=448365&v=2,36430,66369.0,SANTA CATARINA,SAN GILBERTO (FOMERREY 137),COLONIA,5.6207015435e-05
2015,2015-01-20,25.694891,-100.497941,Carga a su hija y lo ejecutan,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=444500&v=3,36417,66367.0,SANTA CATARINA,PUERTA DE LAS MITRAS,COLONIA,2.27848002678e-05
2015,2015-01-11,25.659153,-100.434544,Matan sicarios a 2 en Santa Catarina,2.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=437198&v=4,36307,66198.0,SANTA CATARINA,LA FORTALEZA,COLONIA,1.0217400001e-05
2015,2015-01-27,25.603208,-100.077843,Lo ejecutan c&#243;mplices por fallar como halc&#243;n,1.0,http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450071&v=3,0,,,,,
