,OBJECTID,POSTALCODE,ST_NAME,MUN_NAME,SETT_NAME,SETT_TYPE,WITH_EVENT,x_centroid,y_centroid
162,33686,66613,NUEVO LEON,APODACA,PASEO DE APODACA,COLONIA,False,-100.247,25.813
163,33687,66613,NUEVO LEON,APODACA,SEPTIMA ZONA MILITAR,COLONIA,True,-100.268,25.844
164,33688,66613,NUEVO LEON,APODACA,FRACC BALCONES DEL NORTE,COLONIA,False,-100.262,25.81
165,33689,66613,NUEVO LEON,APODACA,FRACC COSMOPOLIS,COLONIA,True,-100.246,25.814
166,33690,66613,NUEVO LEON,APODACA,FRACC COSMOPOLIS 2DA SECC,COLONIA,False,-100.246,25.828
167,33691,66616,NUEVO LEON,APODACA,JESUS MARIA,PARQUE INDUSTRIAL,True,-100.083,25.741
168,33692,66616,NUEVO LEON,APODACA,STIVA PARQUE INDUSTRIAL AEROPUERTO,PARQUE INDUSTRIAL,False,-100.131,25.772
169,33693,66616,NUEVO LEON,APODACA,AEROP INTL MARIANO ESCOBEDO MTY,PARQUE INDUSTRIAL,False,-100.114,25.782
170,33694,66620,NUEVO LEON,APODACA,PRADERA DE AGUA FRIA,COLONIA,False,-100.149,25.812
171,33695,66620,NUEVO LEON,APODACA,CERRITO DE AGUA FRIA,COLONIA,False,-100.156,25.805
172,33696,66623,NUEVO LEON,APODACA,ARTEMIO TREVIÃO,COLONIA,True,-100.145,25.836
173,33697,66626,NUEVO LEON,APODACA,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,False,-100.139,25.782
174,33698,66626,NUEVO LEON,APODACA,PARQUE INDUSTRIAL MILENIUM,PARQUE INDUSTRIAL,False,-100.131,25.781
175,33699,66626,NUEVO LEON,APODACA,STIVA PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,False,-100.146,25.778
176,33700,66630,NUEVO LEON,APODACA,FRANCISCO MARTINEZ,COLONIA,False,-100.241,25.76
177,33701,66630,NUEVO LEON,APODACA,GARCIA MIRELES,COLONIA,False,-100.242,25.76
178,33702,66630,NUEVO LEON,APODACA,HACIENDA DEL MORO,COLONIA,False,-100.237,25.761
179,33703,66630,NUEVO LEON,APODACA,HACIENDA LOS NOGALES,COLONIA,True,-100.239,25.77
180,33704,66630,NUEVO LEON,APODACA,LAS AMERICAS,COLONIA,False,-100.25,25.758
181,33705,66630,NUEVO LEON,APODACA,MEZQUITAL SUR,COLONIA,False,-100.246,25.76
182,33706,66630,NUEVO LEON,APODACA,VIEJO MEZQUITAL,COLONIA,True,-100.234,25.773
183,33707,66630,NUEVO LEON,APODACA,EL MEZQUITAL,COLONIA,True,-100.236,25.765
184,33708,66630,NUEVO LEON,APODACA,FRACC ARBOLEDAS DEL MEZQUITAL,COLONIA,True,-100.24,25.766
185,33709,66630,NUEVO LEON,APODACA,FRANCISCO ELIZONDO,COLONIA,True,-100.24,25.758
186,33710,66632,NUEVO LEON,APODACA,NUEVO MEZQUITAL,COLONIA,True,-100.241,25.755
