		Total	Abasolo	Agualeguas	Los Aldamas	Allende	Anahuac	Apodaca	Aramberri	Bustamante	Cadereyta Jimenez	El Carmen	Cerralvo	Cienega de Flores	China	Doctor Arroyo	Doctor Coss	Doctor Gonzalez	Galeana	Garcia	San Pedro Garza Garcia	General Bravo	General Escobedo	General Teran	General Treviño	General Zaragoza	General Zuazua	Guadalupe	Los Herreras	Higueras	Hualahuises	Iturbide	Juarez	Lampazos de Naranjo	Linares	Marin	Melchor Ocampo	Mier y Noriega	Mina	Montemorelos	Monterrey	Parás	Pesquería	Los Ramones	Rayones	Sabinas Hidalgo	Salinas Victoria	San Nicolás de los Garza	Hidalgo	Santa Catarina	Santiago	Vallecillo	Villaldama
2009	Total	19803		1	1	4	2	8			8	2	1	6	1		5	1	1	12	10		17				6	29		1			30		3					2	134		2		1		1	20	1	13	13	4	
2009	Enero	1372						1			1						4			1			2					2					2		1						10									2			
2009	Febrero	1496																			1		1					5													14												
2009	Marzo	1468										2		3																											4						1			1			
2009	Abril	1349																			2		2					3					1								12		1					4		1		4	
2009	Mayo	1478									2												1										1		2						7							1		1			
2009	Junio	1673						1												3	1							2													8												
2009	Julio	1625			1																							7					1								13									1	3		
2009	Agosto	1800				1	1	1						2	1						1		1					2					1								11		1					7		2	1		
2009	Septiembre	1852				2	1				1												3				1	3					1							1	12							2	1	3	7		
2009	Octubre	1748		1				2			1										4		1					2													22							1		1	2		
2009	Noviembre	1717																1		6	1		2										2								9							1					
2009	Diciembre	2155				1		3			3		1	1			1		1	2			4				5	3		1			21							1	12				1			4		1			
2009	No especificado	70																																																			
2010	Total	25757			2	9	6	32	2	11	22	3	13	2	30	12	16	3	2	15	21	9	15	10	29		3	62	6	1			96		3	1	5		6	18	344	8	4	9	1	13		30		24	25	5	
2010	Enero	1943									1					9												3													5		2					3		1			
2010	Febrero	1674						2	1						2	1			1		2		1										1							2	18			6		1							
2010	Marzo	2016				5	4	1		11			6	1	11					2					7												1				16					2		5		8	1	3	
2010	Abril	2037						4			4		2				2				1	7	2	2	2			9	2				5			1					42		1			5		4		2	5	1	
2010	Mayo	2151									1				3						2							8		1									2	3	32							1			1		
2010	Junio	2305						10			2				2		14			4	5		4					14	3				23						1	1	29							2		3	6		
2010	Julio	2276			2	1		1			2	3			2					2	10		4						1				51							3	43		1					3		1	3		
2010	Agosto	2534				1	2	2			3				7	1				2		1	1	2				1					6		1		1			3	46			3		1		2			1		
2010	Septiembre	2163						1					3	1				3		2			1	6	20		1	4					5		1		3		3	2	20					1				1	2		
2010	Octubre	2455						1	1		7		2		2	1					1							4					1							1	42	8						3		5	4		
2010	Noviembre	1910				2		1			2									2		1						13							1						21							4		2		1	
2010	Diciembre	2233						9							1				1	1			2				2	6					4							3	30				1	3		3		1	2		
2010	No especificado	60																																																			
2011	Total	27213	3	11	5	25	11	126			118	13	4	11	26	7		4	7	24	17	2	70	28	1	1	6	249	3		8		99	3	30	6	1		1	56	791	14	18	14	2	29	10	128	2	43	78	32	1
2011	Enero	2216				2	2	8			4	1		1	3			1	1	3	1		8	7	1		2	13					4		1					4	69			3			1	3		8	2		
2011	Febrero	2029	1	1		3	1	1			6	1			1	1			1	4	3			2				24					6	2		1					28		1	5	1	8		11		6	2		
2011	Marzo	2227				3	1	6			4			1	7								8					14	1				3		6				1	8	35			1				15		1	1		
2011	Abril	2426			5	3	1	4			12									5	1		9					24			3		12		7					6	51		1					8		1	3		1
2011	Mayo	2601				4	1	25			10			1	6						1		6				1	54					16	1	10					8	96						1	17		3	8	2	
2011	Junio	2325				1		14			12									4	1		7	8				30	2		5		14							2	97		4	3	1	3	4	7		5	13		
2011	Julio	2413				4	4	12			9	5			1	4			1	3	3		6	5				21					25		3	4				11	87		5			10	1	19		9	21	1	
