,source,target,week_id,week_date
477,34018,35424,3,2011-01-23
478,34018,35696,3,2011-01-23
479,34041,34358,3,2011-01-23
480,34041,34955,3,2011-01-23
481,34041,34958,3,2011-01-23
482,34041,34961,3,2011-01-23
483,34041,35121,3,2011-01-23
484,34041,35915,3,2011-01-23
485,34041,36377,3,2011-01-23
486,34358,34359,3,2011-01-23
487,34358,34643,3,2011-01-23
488,34358,34648,3,2011-01-23
489,34358,35068,3,2011-01-23
490,34358,35264,3,2011-01-23
491,34358,35305,3,2011-01-23
492,34358,35424,3,2011-01-23
493,34358,35696,3,2011-01-23
494,34359,34955,3,2011-01-23
495,34359,34958,3,2011-01-23
496,34359,34961,3,2011-01-23
497,34359,35121,3,2011-01-23
498,34359,35915,3,2011-01-23
499,34359,36377,3,2011-01-23
500,34643,34955,3,2011-01-23
501,34643,34958,3,2011-01-23
502,34643,34961,3,2011-01-23
503,34643,35121,3,2011-01-23
504,34643,35915,3,2011-01-23
505,34643,36377,3,2011-01-23
506,34648,34955,3,2011-01-23
507,34648,34958,3,2011-01-23
508,34648,34961,3,2011-01-23
509,34648,35121,3,2011-01-23
510,34648,35915,3,2011-01-23
511,34648,36377,3,2011-01-23
512,34955,35068,3,2011-01-23
513,34955,35264,3,2011-01-23
514,34955,35305,3,2011-01-23
515,34955,35424,3,2011-01-23
516,34955,35696,3,2011-01-23
517,34958,35068,3,2011-01-23
518,34958,35264,3,2011-01-23
519,34958,35305,3,2011-01-23
520,34958,35424,3,2011-01-23
521,34958,35696,3,2011-01-23
522,34961,35068,3,2011-01-23
523,34961,35264,3,2011-01-23
524,34961,35305,3,2011-01-23
525,34961,35424,3,2011-01-23
526,34961,35696,3,2011-01-23
527,35068,35121,3,2011-01-23
528,35068,35915,3,2011-01-23
529,35068,36377,3,2011-01-23
530,35121,35264,3,2011-01-23
531,35121,35305,3,2011-01-23
532,35121,35424,3,2011-01-23
533,35121,35696,3,2011-01-23
534,35264,35915,3,2011-01-23
535,35264,36377,3,2011-01-23
536,35305,35915,3,2011-01-23
537,35305,36377,3,2011-01-23
538,35424,35915,3,2011-01-23
539,35424,36377,3,2011-01-23
540,35696,35915,3,2011-01-23
541,35696,36377,3,2011-01-23
542,33600,33609,4,2011-01-30
543,33600,33654,4,2011-01-30
544,33600,33707,4,2011-01-30
545,33600,33710,4,2011-01-30
546,33600,33729,4,2011-01-30
547,33600,34565,4,2011-01-30
548,33600,36014,4,2011-01-30
549,33600,36426,4,2011-01-30
550,33609,33742,4,2011-01-30
551,33609,33901,4,2011-01-30
552,33609,34018,4,2011-01-30
553,33609,34358,4,2011-01-30
554,33609,34955,4,2011-01-30
555,33609,34958,4,2011-01-30
556,33609,34961,4,2011-01-30
557,33609,35121,4,2011-01-30
558,33609,35915,4,2011-01-30
559,33609,36377,4,2011-01-30
560,33654,33742,4,2011-01-30
561,33654,33901,4,2011-01-30
562,33654,34018,4,2011-01-30
563,33654,34358,4,2011-01-30
564,33654,34955,4,2011-01-30
565,33654,34958,4,2011-01-30
566,33654,34961,4,2011-01-30
567,33654,35121,4,2011-01-30
568,33654,35915,4,2011-01-30
569,33654,36377,4,2011-01-30
570,33707,33742,4,2011-01-30
571,33707,33901,4,2011-01-30
572,33707,34018,4,2011-01-30
573,33707,34358,4,2011-01-30
574,33707,34955,4,2011-01-30
575,33707,34958,4,2011-01-30
576,33707,34961,4,2011-01-30
577,33707,35121,4,2011-01-30
578,33707,35915,4,2011-01-30
579,33707,36377,4,2011-01-30
580,33710,33742,4,2011-01-30
581,33710,33901,4,2011-01-30
582,33710,34018,4,2011-01-30
583,33710,34358,4,2011-01-30
584,33710,34955,4,2011-01-30
585,33710,34958,4,2011-01-30
586,33710,34961,4,2011-01-30
587,33710,35121,4,2011-01-30
588,33710,35915,4,2011-01-30
589,33710,36377,4,2011-01-30
590,33729,33742,4,2011-01-30
591,33729,33901,4,2011-01-30
592,33729,34018,4,2011-01-30
593,33729,34358,4,2011-01-30
594,33729,34955,4,2011-01-30
595,33729,34958,4,2011-01-30
596,33729,34961,4,2011-01-30
597,33729,35121,4,2011-01-30
598,33729,35915,4,2011-01-30
599,33729,36377,4,2011-01-30
600,33742,34565,4,2011-01-30
601,33742,36014,4,2011-01-30
602,33742,36426,4,2011-01-30
603,33901,34565,4,2011-01-30
