source,target,weight
33752,35441,1
33752,35464,1
33752,36281,1
33762,34177,1
33762,34181,1
33762,34357,1
33762,34786,1
33762,35074,1
33762,35125,1
33763,33880,1
33763,33901,1
33763,34095,1
33763,34273,1
33763,34343,1
33763,34713,1
33763,34978,1
33763,35009,1
33763,35010,1
33763,35068,1
33763,35102,1
33763,35161,1
33763,35261,1
33763,35264,1
33763,35273,1
33763,35282,1
33763,35297,1
33763,35369,1
33763,35380,1
33763,35384,1
33763,35385,1
33763,35427,1
33763,35450,1
33763,35918,1
33763,35936,1
33763,35964,1
33763,36061,1
33763,36446,1
33771,33875,1
33771,33901,2
33771,33908,1
33771,33965,1
33771,34161,1
33771,34251,1
33771,34431,1
33771,34461,1
33771,34713,2
33771,34725,1
33771,34742,1
33771,34955,1
33771,34998,1
33771,35002,1
33771,35068,1
33771,35132,1
33771,35178,1
33771,35245,1
33771,35283,1
33771,35458,1
33771,35786,1
33771,35875,1
33771,36327,1
33771,36459,1
33772,33834,1
33772,33849,1
33772,33882,1
33772,33901,1
33772,33917,1
33772,34601,1
33772,34713,1
33772,35173,1
33772,35384,1
33772,35502,1
33772,35978,1
33774,33842,1
33774,34117,1
33774,34418,1
33774,35162,1
33774,35369,1
33774,35376,1
33778,33901,1
33778,33913,1
33778,33965,1
33778,34272,1
33778,34955,1
33778,35001,1
33778,35102,1
33778,35781,1
33778,35820,1
33778,36065,1
33784,33844,1
33784,34090,1
33784,34713,1
33784,34955,1
33784,34961,1
33784,35152,1
33784,35238,1
33784,35264,1
33784,35376,1
33784,35406,1
33784,36128,1
33787,35400,1
33787,36241,1
33791,34532,1
33791,34759,1
33791,34955,1
33791,35074,1
33791,35116,1
33791,35264,1
33796,33814,1
33796,33901,1
33796,33944,1
33796,34066,1
33796,34373,1
33796,34768,1
33796,34776,1
33796,35096,1
33796,35285,1
33796,35362,1
33796,35384,1
33796,35545,1
33796,35937,1
33796,36399,1
33799,34164,1
33799,35074,1
33799,35098,1
33799,35264,1
33799,35449,1
33805,33836,1
33805,33901,1
33805,33931,1
33805,34961,1
33805,35152,1
33807,33811,1
33807,34582,1
33807,35473,1
33807,36307,1
33810,35181,1
33810,35506,1
33811,33817,1
33811,34047,1
33811,34080,1
33811,34435,1
33811,34495,1
33811,34536,1
33811,34582,1
33811,34713,1
33811,35061,1
33811,35102,1
33811,35133,1
33811,35146,1
33811,35384,1
33811,35473,1
33811,35937,1
33811,36059,1
33811,36307,1
33812,34250,1
33812,34281,1
33812,34325,1
33812,34458,1
33812,34955,1
33812,35102,1
33812,35133,1
33812,35404,1
33812,35464,1
33812,35937,1
33812,35941,1
33813,34066,1
33813,34614,1
33813,34955,1
33813,35038,1
33813,35133,1
33813,35420,1
